Close,DateTime,High,Low,Open,Symbol,Volume
105.51,1.51314E+12,107.11,105.48,106.7,JPM,15020293
104.66,1.51323E+12,106.45,104.64,106.12,JPM,13034232
106.14,1.51332E+12,106.52,105.2,105.79,JPM,29350598
106.96,1.51358E+12,107.63,106.48,107.19,JPM,12713148
106.51,1.51366E+12,107.49,106.44,107.35,JPM,12149937
106.14,1.51375E+12,107.7305,106.09,107.6,JPM,13091473
107.83,1.51384E+12,108.07,106.56,106.59,JPM,12323670
107.45,1.51392E+12,108.46,106.805,108.2,JPM,14573385
107.02,1.51427E+12,107.99,106.4,107.2,JPM,7403739
107.22,1.51435E+12,107.29,106.67,106.67,JPM,9496548
107.79,1.51444E+12,107.84,107.1601,107.4,JPM,7440555
106.94,1.51453E+12,108.28,106.94,108.09,JPM,8925701
107.95,1.51487E+12,108.02,106.8056,107.63,JPM,13578835
108.06,1.51496E+12,108.49,107.48,107.86,JPM,11901037
109.04,1.51505E+12,110.03,108.2,108.36,JPM,12953656
108.34,1.51513E+12,109.55,107.775,109.26,JPM,14154974
108.5,1.51539E+12,108.68,107.7,108.15,JPM,12466512
109.05,1.51548E+12,109.63,108.49,108.72,JPM,13292310
110.25,1.51556E+12,110.7,109.39,109.47,JPM,15834468
110.84,1.51565E+12,110.929,110.051,110.67,JPM,13676788
112.67,1.51574E+12,112.85,110.84,111.65,JPM,18884229
112.27,1.51608E+12,113.43,111.07,111.51,JPM,22703336
112.99,1.51617E+12,113.2958,111.31,111.89,JPM,14940266
113.26,1.51626E+12,113.7226,112.27,112.76,JPM,14572911
113.01,1.51634E+12,114.34,112.804,113.94,JPM,18785468
114.33,1.5166E+12,114.39,112.5,112.66,JPM,12475654
114.21,1.51669E+12,114.64,113.35,113.67,JPM,12320751
115.67,1.51677E+12,116,114.66,114.86,JPM,15904504
115.7,1.51686E+12,116.17,115.075,116.04,JPM,13509957
116.32,1.51695E+12,116.32,114.96,115.7,JPM,13883875
116.2,1.51721E+12,117.3529,116.02,116.02,JPM,11679919
115.11,1.51729E+12,116.6,114.98,115.53,JPM,14279124
115.67,1.51738E+12,116.66,115.16,115.65,JPM,13141423
116.87,1.51746E+12,116.985,115.48,115.77,JPM,13800613
